word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
sidewinder,bobsled,5,-0.12585195899009705,1.125851958990097
sidewinder,luge,5,0.4086776375770569,0.5913223624229431
sidewinder,toboggan,5,0.13848355412483215,0.8615164458751678
craft,aircraft,1,0.8311095237731934,0.16889047622680664
craft,vessel,1,0.6216609477996826,0.3783390522003174
craft,galley,2,0.5791454315185547,0.4208545684814453
craft,ship,2,0.2518041729927063,0.7481958270072937
craft,yacht,2,0.11566925793886185,0.8843307420611382
craft,boat,2,0.3253280818462372,0.6746719181537628
craft,hovercraft,1,0.5388940572738647,0.46110594272613525
craft,spacecraft,1,0.8273175954818726,0.17268240451812744
craft,starship,2,0.3766973912715912,0.6233026087284088
craft,lander,2,0.14966115355491638,0.8503388464450836
craft,steamroller,2,0.5862607359886169,0.41373926401138306
craft,sled,2,0.19562265276908875,0.8043773472309113
craft,bobsled,3,-0.0025622621178627014,1.0025622621178627
craft,luge,3,-0.027280181646347046,1.027280181646347
craft,toboggan,3,-0.035639688372612,1.035639688372612
aircraft,vessel,2,0.4654397964477539,0.5345602035522461
aircraft,galley,3,0.5189687013626099,0.48103129863739014
aircraft,ship,3,0.282830148935318,0.717169851064682
aircraft,yacht,3,0.4989418685436249,0.5010581314563751
aircraft,boat,3,0.497470498085022,0.502529501914978
aircraft,hovercraft,2,0.35933348536491394,0.6406665146350861
aircraft,spacecraft,2,0.7856976985931396,0.21430230140686035
aircraft,starship,3,0.479038268327713,0.520961731672287
aircraft,lander,3,0.12951608002185822,0.8704839199781418
aircraft,steamroller,3,0.42536574602127075,0.5746342539787292
aircraft,sled,3,0.08406344801187515,0.9159365519881248
aircraft,bobsled,4,0.13080497086048126,0.8691950291395187
aircraft,luge,4,-0.1643109917640686,1.1643109917640686
aircraft,toboggan,4,0.054428063333034515,0.9455719366669655
vessel,galley,1,0.8670642375946045,0.1329357624053955
vessel,ship,1,0.08664722740650177,0.9133527725934982
vessel,yacht,1,0.0714448019862175,0.9285551980137825
vessel,boat,1,0.17976707220077515,0.8202329277992249
vessel,hovercraft,2,0.6345609426498413,0.3654390573501587
vessel,spacecraft,2,0.8388781547546387,0.16112184524536133
vessel,starship,3,0.44299551844596863,0.5570044815540314
vessel,lander,3,-0.01582431048154831,1.0158243104815483
vessel,steamroller,3,0.4113237261772156,0.5886762738227844
vessel,sled,3,0.1941467970609665,0.8058532029390335
vessel,bobsled,4,-0.29385343194007874,1.2938534319400787
