word,synonym,relation,cosine_similarity
revolved,rotated,synonym,0.35018646717071533
ghastly,macabre,synonym,-0.8064249753952026
dodgy,dicey,synonym,0.15312939882278442
biweekly,fortnightly,synonym,0.9632328152656555
pouring,gushing,synonym,0.9795231819152832
sceptical,doubting,synonym,0.9979324340820312
superimposed,overlying,synonym,-0.9959853887557983
depicted,portrayed,synonym,0.5227587819099426
circular,round,synonym,0.48368003964424133
vivid,lifelike,synonym,0.500030517578125
implemented,enforced,synonym,0.8745821714401245
subversive,insurgent,synonym,0.6090666651725769
demonic,satanic,synonym,0.996071457862854
desirous,wishful,synonym,-0.955384373664856
unwavering,steadfast,synonym,-0.1055898517370224
firstborn,eldest,synonym,0.6832928657531738
fierce,ferocious,synonym,0.9023035764694214
uptight,edgy,synonym,-0.18631067872047424
headlong,hasty,synonym,0.7221096158027649
captivated,charmed,synonym,-0.6770117282867432
incisive,penetrating,synonym,-0.6330462694168091
resonant,resounding,synonym,-0.6493397951126099
wee,bitty,synonym,0.5182628631591797
credible,believable,synonym,0.9993080496788025
reinforced,strengthened,synonym,0.9996426105499268
outmoded,passe,synonym,-0.9194433689117432
fascinating,gripping,synonym,-0.41904014348983765
annoying,galling,synonym,-0.9999549984931946
noted,famed,synonym,0.8321429491043091
disguised,masked,synonym,0.9999920725822449
ruinous,catastrophic,synonym,0.7709792256355286
groundless,unfounded,synonym,0.36362436413764954
clothed,clad,synonym,0.9999752044677734
weird,uncanny,synonym,0.626370370388031
healing,therapeutic,synonym,0.6249717473983765
aghast,appalled,synonym,-0.9981306195259094
neglected,ignored,synonym,0.9964777827262878
loathsome,nauseating,synonym,0.9846339821815491
sedate,staid,synonym,0.9850819706916809
angered,enraged,synonym,0.9695224165916443
twilight,dusky,synonym,0.8108674883842468
frugal,sparing,synonym,-0.37865641713142395
underweight,scrawny,synonym,0.9865550994873047
thrilling,electrifying,synonym,-0.9930873513221741
illustrious,famous,synonym,0.7274531722068787
unforeseen,unanticipated,synonym,0.6904191970825195
amalgamated,fused,synonym,0.9975455403327942
toiling,labouring,synonym,0.5485597848892212
baseless,unfounded,synonym,0.9495323896408081
bracing,refreshing,synonym,0.42441192269325256
intrepid,dauntless,synonym,-0.2521315813064575
ineffective,ineffectual,synonym,0.6577975749969482
skilful,expert,synonym,-0.19504931569099426
amok,berserk,synonym,0.9332059621810913
kindred,akin,synonym,-0.733228325843811
squalid,sordid,synonym,-0.395480751991272
flagging,drooping,synonym,0.9423127174377441
vengeful,vindictive,synonym,0.918133020401001
nonsensical,preposterous,synonym,0.9995994567871094
obstinate,stubborn,synonym,0.8944772481918335
archetypal,prototypical,synonym,0.8961045742034912
nautical,maritime,synonym,0.9967435002326965
detrimental,damaging,synonym,0.5210998058319092
dizzy,giddy,synonym,0.3074977993965149
unavoidable,inescapable,synonym,0.7872064113616943
desolate,barren,synonym,0.8783896565437317
dreadful,horrendous,synonym,0.8119711875915527
marooned,stranded,synonym,-0.6621717810630798
disgruntled,dissatisfied,synonym,0.9981555938720703
puzzling,enigmatic,synonym,-0.9842932820320129
infertile,sterile,synonym,0.9800227284431458
faithless,traitorous,synonym,0.8796869516372681
deserved,merited,synonym,0.9861001968383789
exhausting,draining,synonym,0.29733729362487793
goofy,silly,synonym,0.9992803335189819
flustered,perturbed,synonym,-0.7149159908294678
burdensome,taxing,synonym,-0.8455789685249329
unrivalled,peerless,synonym,0.9695685505867004
tilted,leaning,synonym,0.9827653765678406
baffled,bewildered,synonym,-0.050676822662353516
labored,strained,synonym,-0.35283833742141724
dirty,soiled,synonym,-0.667894721031189
sensible,reasonable,synonym,0.9663642644882202
everlasting,eternal,synonym,0.16703727841377258
flourishing,prospering,synonym,0.9311656355857849
colossal,stupendous,synonym,-0.17517203092575073
cloaked,masked,synonym,-0.0781022310256958
drunken,boozy,synonym,-0.5053858757019043
discouraged,disheartened,synonym,0.19574034214019775
evoked,elicited,synonym,-0.7932003736495972
shouted,yelled,synonym,0.9924057126045227
striking,spectacular,synonym,0.7720072269439697
extended,prolonged,synonym,0.9708516597747803
disgraceful,scandalous,synonym,0.9900956153869629
coveted,desired,synonym,0.9992327690124512
razed,demolished,synonym,-0.18200096487998962
unclean,soiled,synonym,0.10117243230342865
snide,sneering,synonym,0.9581847190856934
branched,forked,synonym,-0.484238862991333
resettled,relocated,synonym,0.8405871391296387
impregnable,unassailable,synonym,0.985515296459198
implanted,ingrained,synonym,-0.6544586420059204
rejoicing,jubilant,synonym,0.9999998807907104
dreary,drab,synonym,0.9425654411315918
enthralling,captivating,synonym,-0.995127260684967
tart,tangy,synonym,0.8417618274688721
agitating,provoking,synonym,0.9999983310699463
concluded,ended,synonym,0.9440341591835022
enamored,infatuated,synonym,0.9951157569885254
hardworking,industrious,synonym,0.9140193462371826
alluring,beguiling,synonym,-0.8883822560310364
