word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
vehicle,rocket,1,0.41765958070755,0.58234041929245
vehicle,missile,2,0.399020791053772,0.600979208946228
vehicle,sidewinder,3,0.2300472110509872,0.7699527889490128
vehicle,craft,1,0.31938436627388,0.68061563372612
vehicle,aircraft,2,0.5161910653114319,0.4838089346885681
vehicle,vessel,2,0.4321410655975342,0.5678589344024658
vehicle,galley,3,0.2910890877246856,0.7089109122753143
vehicle,ship,3,0.3632751703262329,0.6367248296737671
vehicle,yacht,3,0.4439595341682434,0.5560404658317566
vehicle,boat,3,0.5332422256469727,0.46675777435302734
vehicle,hovercraft,2,0.3900501132011413,0.6099498867988586
vehicle,spacecraft,2,0.4535176157951355,0.5464823842048645
vehicle,starship,3,0.3966332972049713,0.6033667027950287
vehicle,lander,3,0.2894325852394104,0.7105674147605896
vehicle,steamroller,1,0.3341034948825836,0.6658965051174164
vehicle,sled,1,0.3126727342605591,0.6873272657394409
vehicle,bobsled,2,0.2530208230018616,0.7469791769981384
vehicle,luge,2,0.2983015775680542,0.7016984224319458
vehicle,toboggan,2,0.2369349598884582,0.7630650401115417
rocket,missile,1,0.6806342601776123,0.3193657398223877
rocket,sidewinder,2,0.191122829914093,0.808877170085907
rocket,craft,2,0.2601861953735351,0.7398138046264648
rocket,aircraft,3,0.4889680743217468,0.5110319256782532
rocket,vessel,3,0.2929809093475342,0.7070190906524658
rocket,galley,4,0.3267166912555694,0.6732833087444305
rocket,ship,4,0.3694578409194946,0.6305421590805054
rocket,yacht,4,0.2791255712509155,0.7208744287490845
rocket,boat,4,0.3341094553470611,0.6658905446529388
rocket,hovercraft,3,0.3421863913536072,0.6578136086463928
rocket,spacecraft,3,0.5830291509628296,0.4169708490371704
rocket,starship,4,0.4978284835815429,0.502171516418457
rocket,lander,4,0.3123441934585571,0.6876558065414429
rocket,steamroller,2,0.3870137929916382,0.6129862070083618
rocket,sled,2,0.2884746789932251,0.7115253210067749
rocket,bobsled,3,0.2536670863628387,0.7463329136371613
rocket,luge,3,0.2851596474647522,0.7148403525352478
rocket,toboggan,3,0.2441761791706085,0.7558238208293915
missile,sidewinder,1,0.2149160057306289,0.785083994269371
missile,craft,3,0.1739765405654907,0.8260234594345093
missile,aircraft,4,0.5315366983413696,0.46846330165863037
missile,vessel,4,0.2537896633148193,0.7462103366851807
missile,galley,5,0.3320008516311645,0.6679991483688354
missile,ship,5,0.3032833933830261,0.6967166066169739
missile,yacht,5,0.211097851395607,0.788902148604393
missile,boat,5,0.3356451988220215,0.6643548011779785
missile,hovercraft,4,0.2721840739250183,0.7278159260749817
missile,spacecraft,4,0.4801331460475921,0.5198668539524078
missile,starship,5,0.367129385471344,0.632870614528656
missile,lander,5,0.320921927690506,0.679078072309494
missile,steamroller,3,0.3644075989723205,0.6355924010276794
missile,sled,3,0.2790242433547973,0.7209757566452026
missile,bobsled,4,0.182052731513977,0.817947268486023
missile,luge,4,0.2259263694286346,0.7740736305713654
missile,toboggan,4,0.253271996974945,0.7467280030250549
sidewinder,craft,4,0.1959739178419113,0.8040260821580887
sidewinder,aircraft,5,0.2595909237861633,0.7404090762138367
sidewinder,vessel,5,0.2239768505096435,0.7760231494903564
sidewinder,galley,6,0.2953733205795288,0.7046266794204712
sidewinder,ship,6,0.1616023778915405,0.8383976221084595
sidewinder,yacht,6,0.2584353387355804,0.7415646612644196
sidewinder,boat,6,0.2718440294265747,0.7281559705734253
sidewinder,hovercraft,5,0.2136468738317489,0.786353126168251
