word1,word2,taxonomic_distance,cosine_similarity,cosine_distance
vehicle,rocket,1,0.3908483386039734,0.6091516613960266
vehicle,missile,2,0.34397071599960327,0.6560292840003967
vehicle,sidewinder,3,0.19633257389068604,0.803667426109314
vehicle,craft,1,0.2991839349269867,0.7008160650730133
vehicle,aircraft,2,0.6078580617904663,0.3921419382095337
vehicle,vessel,2,0.39637473225593567,0.6036252677440643
vehicle,galley,3,0.20561441779136658,0.7943855822086334
vehicle,ship,3,0.35795074701309204,0.642049252986908
vehicle,yacht,3,0.3343668282032013,0.6656331717967987
vehicle,boat,3,0.5594584345817566,0.4405415654182434
vehicle,hovercraft,2,0.4600728154182434,0.5399271845817566
vehicle,spacecraft,2,0.48937463760375977,0.5106253623962402
vehicle,starship,3,0.3146646022796631,0.6853353977203369
vehicle,lander,3,0.1807781159877777,0.8192218840122223
vehicle,steamroller,1,0.33881282806396484,0.6611871719360352
vehicle,sled,1,0.0850924551486969,0.9149075448513031
vehicle,bobsled,2,0.2771713137626648,0.7228286862373352
vehicle,luge,2,-0.028982684016227722,1.0289826840162277
vehicle,toboggan,2,0.07796439528465271,0.9220356047153473
rocket,missile,1,0.6430514454841614,0.3569485545158386
rocket,sidewinder,2,0.10168172419071198,0.898318275809288
rocket,craft,2,0.03548179566860199,0.964518204331398
rocket,aircraft,3,0.34496545791625977,0.6550345420837402
rocket,vessel,3,0.12408068776130676,0.8759193122386932
rocket,galley,4,0.09372242540121078,0.9062775745987892
rocket,ship,4,0.1497417390346527,0.8502582609653473
rocket,yacht,4,0.14514043927192688,0.8548595607280731
rocket,boat,4,0.2230941653251648,0.7769058346748352
rocket,hovercraft,3,0.3812958002090454,0.6187041997909546
rocket,spacecraft,3,0.49261367321014404,0.507386326789856
rocket,starship,4,0.5322883129119873,0.4677116870880127
rocket,lander,4,0.17613673210144043,0.8238632678985596
rocket,steamroller,2,0.30689266324043274,0.6931073367595673
rocket,sled,2,0.1158195436000824,0.8841804563999176
rocket,bobsled,3,0.2297670990228653,0.7702329009771347
rocket,luge,3,-0.007305648177862167,1.0073056481778622
rocket,toboggan,3,0.10384431481361389,0.8961556851863861
missile,sidewinder,1,0.16934719681739807,0.8306528031826019
missile,craft,3,-0.1424504816532135,1.1424504816532135
missile,aircraft,4,0.4542900323867798,0.5457099676132202
missile,vessel,4,0.044849950820207596,0.9551500491797924
missile,galley,5,0.12707599997520447,0.8729240000247955
missile,ship,5,0.04292037710547447,0.9570796228945255
