word1,word2,taxonomic_distance,cosine_similarity
vehicle,rocket,1,0.41765958070755005
vehicle,missile,2,0.399020791053772
vehicle,sidewinder,3,0.23004721105098724
vehicle,craft,1,0.31938436627388
vehicle,aircraft,2,0.5161910653114319
vehicle,vessel,2,0.4321410655975342
vehicle,galley,3,0.29108908772468567
vehicle,ship,3,0.3632751703262329
vehicle,yacht,3,0.4439595341682434
vehicle,boat,3,0.5332422256469727
vehicle,hovercraft,2,0.39005011320114136
vehicle,spacecraft,2,0.4535176157951355
vehicle,starship,3,0.3966332972049713
vehicle,lander,3,0.2894325852394104
vehicle,steamroller,1,0.3341034948825836
vehicle,sled,1,0.3126727342605591
vehicle,bobsled,2,0.2530208230018616
vehicle,luge,2,0.2983015775680542
vehicle,toboggan,2,0.23693495988845825
rocket,missile,1,0.6806342601776123
rocket,sidewinder,2,0.19112282991409302
rocket,craft,2,0.26018619537353516
rocket,aircraft,3,0.4889680743217468
rocket,vessel,3,0.2929809093475342
rocket,galley,4,0.32671669125556946
rocket,ship,4,0.36945784091949463
rocket,yacht,4,0.2791255712509155
rocket,boat,4,0.33410945534706116
rocket,hovercraft,3,0.3421863913536072
rocket,spacecraft,3,0.5830291509628296
rocket,starship,4,0.49782848358154297
rocket,lander,4,0.31234419345855713
rocket,steamroller,2,0.3870137929916382
rocket,sled,2,0.2884746789932251
rocket,bobsled,3,0.25366708636283875
rocket,luge,3,0.2851596474647522
rocket,toboggan,3,0.24417617917060852
missile,sidewinder,1,0.21491600573062897
missile,craft,3,0.17397654056549072
missile,aircraft,4,0.5315366983413696
missile,vessel,4,0.25378966331481934
missile,galley,5,0.33200085163116455
missile,ship,5,0.3032833933830261
missile,yacht,5,0.211097851395607
missile,boat,5,0.3356451988220215
missile,hovercraft,4,0.2721840739250183
missile,spacecraft,4,0.48013314604759216
missile,starship,5,0.367129385471344
missile,lander,5,0.320921927690506
missile,steamroller,3,0.36440759897232056
missile,sled,3,0.27902424335479736
missile,bobsled,4,0.18205273151397705
missile,luge,4,0.22592636942863464
missile,toboggan,4,0.25327199697494507
sidewinder,craft,4,0.19597391784191132
sidewinder,aircraft,5,0.25959092378616333
sidewinder,vessel,5,0.22397685050964355
sidewinder,galley,6,0.2953733205795288
sidewinder,ship,6,0.16160237789154053
sidewinder,yacht,6,0.25843533873558044
sidewinder,boat,6,0.2718440294265747
sidewinder,hovercraft,5,0.21364687383174896
sidewinder,spacecraft,5,0.22886914014816284
sidewinder,starship,6,0.21373377740383148
sidewinder,lander,6,0.3040127158164978
sidewinder,steamroller,4,0.2905978560447693
sidewinder,sled,4,0.1808815747499466
sidewinder,bobsled,5,0.20480428636074066
sidewinder,luge,5,0.2160762995481491
sidewinder,toboggan,5,0.2038130760192871
craft,aircraft,1,0.32012903690338135
craft,vessel,1,0.4559178650379181
craft,galley,2,0.43791303038597107
craft,ship,2,0.42846789956092834
craft,yacht,2,0.3741398751735687
craft,boat,2,0.434874951839447
craft,hovercraft,1,0.3892134428024292
craft,spacecraft,1,0.3627087473869324
craft,starship,2,0.31244075298309326
craft,lander,2,0.22249796986579895
craft,steamroller,2,0.24422915279865265
craft,sled,2,0.2688136696815491
craft,bobsled,3,0.2767103314399719
craft,luge,3,0.3195125460624695
craft,toboggan,3,0.1960853934288025
aircraft,vessel,2,0.423114538192749
aircraft,galley,3,0.3880481719970703
aircraft,ship,3,0.3596581220626831
aircraft,yacht,3,0.35560351610183716
aircraft,boat,3,0.45759010314941406
aircraft,hovercraft,2,0.3207316994667053
aircraft,spacecraft,2,0.5179961323738098
aircraft,starship,3,0.37498411536216736
aircraft,lander,3,0.30862295627593994
aircraft,steamroller,3,0.367782324552536
aircraft,sled,3,0.24577587842941284
aircraft,bobsled,4,0.2274426817893982
aircraft,luge,4,0.19748926162719727
aircraft,toboggan,4,0.1863841712474823
vessel,galley,1,0.6845404505729675
vessel,ship,1,0.5293698310852051
vessel,yacht,1,0.620132327079773
vessel,boat,1,0.7259718179702759
vessel,hovercraft,2,0.2777303457260132
vessel,spacecraft,2,0.49379071593284607
vessel,starship,3,0.5721094012260437
vessel,lander,3,0.26713335514068604
vessel,steamroller,3,0.3075828552246094
vessel,sled,3,0.20832712948322296
vessel,bobsled,4,0.20481637120246887
vessel,luge,4,0.28718993067741394
vessel,toboggan,4,0.10892941057682037
galley,ship,2,0.5573647022247314
galley,yacht,2,0.5936810374259949
galley,boat,2,0.6590883731842041
galley,hovercraft,3,0.32593458890914917
galley,spacecraft,3,0.4708942770957947
galley,starship,4,0.48081934452056885
galley,lander,4,0.2814672887325287
galley,steamroller,4,0.2954421639442444
galley,sled,4,0.21646371483802795
galley,bobsled,5,0.2542768716812134
galley,luge,5,0.28012290596961975
galley,toboggan,5,0.14935453236103058
ship,yacht,2,0.48573651909828186
ship,boat,2,0.5953255295753479
ship,hovercraft,3,0.31494075059890747
ship,spacecraft,3,0.43002378940582275
ship,starship,4,0.5869516134262085
ship,lander,4,0.25067460536956787
ship,steamroller,4,0.24392300844192505
ship,sled,4,0.24818670749664307
